Iteration,k,NumSubPops,Migration,InnovationRate,Ones_Mean,Ones_95%_Lower,Ones_95%_Upper,Twos_Mean,Twos_95%_Lower,Twos_Upper,Richness_Mean,Richness_95%_Lower,Richness_Upper,Fst_Mean,Fst_95%_Lower,Fst_95%_Upper
18,12,25,0.0001,0.0,0.8,-0.23885063368356962,1.8388506336835697,1.8,1.2447109789604403,2.35528902103956,10.4,8.322298732632861,12.47770126736714,0.6773552038957835,0.6423291230940557,0.7123812846975114
19,12,25,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,5.24471097896044,6.355289021039559,0.06714626695685458,0.050699493054452816,0.08359304085925634
20,12,25,0.0005,0.0,0.2,-0.3552890210395599,0.75528902103956,0.0,0.0,0.0,6.2,3.5081365976620944,8.891863402337906,0.3233162270751658,0.2674973263600608,0.37913512779027075
21,12,25,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,2.9788439158417614,7.421156084158239,0.1732010956366619,0.15411473209106216,0.19228745918226162
22,12,25,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,3.179551272830928,8.020448727169072,0.07932957188965886,0.044614770334769335,0.11404437344454839
23,12,25,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.122010966914916,5.877989033085084,0.04415050138169664,0.040591707032089044,0.04770929573130424
24,20,25,0.0001,0.0,0.6,-0.5105780420791192,1.7105780420791192,0.4,-0.280087380658257,1.0800873806582572,8.2,6.358314667008015,10.041685332991984,0.5364151495996887,0.5006616650392838,0.5721686341600937
25,20,25,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.8398252386834866,6.560174761316514,0.04578013072023277,0.034702892895874735,0.05685736854459081
26,20,25,0.0005,0.0,0.0,0.0,0.0,0.2,-0.3552890210395599,0.75528902103956,6.8,5.181068215291294,8.418931784708706,0.17721944976970114,0.15538934895062428,0.199049550588778
27,20,25,0.001,0.0,0.0,0.0,0.0,0.2,-0.3552890210395599,0.75528902103956,6.4,4.984285223017726,7.815714776982275,0.10158822516338921,0.0777086551608636,0.12546779516591483
28,20,25,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,3.516923311651559,7.283076688348442,0.04587014996650661,0.04002088315460528,0.05171941677840794
29,20,25,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,4.289421957920881,6.5105780420791195,0.019891548230734198,0.01744044285572262,0.022342653605745773
30,22,25,0.0001,0.0,0.4,-0.280087380658257,1.0800873806582572,0.8,-0.560174761316514,2.1601747613165143,9.0,6.677059364614806,11.322940635385194,0.510992994735902,0.44832094750719953,0.5736650419646044
